0789742535,https://www.amazon.com/Absolute-Beginner%C2%BFs-Guide-Computer-Basics/dp/0789742535,Absolute Beginner¿s Guide to Computer Basics (5th Edition),5th Edition,Michael Miller,4.1 out of 5 stars,None,$8.87,$12.23,In Stock.
1260010333,https://www.amazon.com/Steps-AP-Computer-Science-2018/dp/1260010333,5 Steps to a 5: AP Computer Science A 2018,2nd Edition,Dean R. Johnson,4.5 out of 5 stars,None,$11.31,$12.17,Only 7 left in stock - order soon.
0615880991,https://www.amazon.com/Coding-Matrix-Algebra-Applications-Computer/dp/0615880991,Coding the Matrix: Linear Algebra through Applications to Computer Science,1st Edition,,4.0 out of 5 stars,None,$23.02,$30.45,Available to ship in 1-2 days.
B075CR9QBJ,https://www.amazon.com/Book-Why-Science-Cause-Effect-ebook/dp/B075CR9QBJ,None,"1st Edition,",Judea Pearl&Dana Mackenzie,3.9 out of 5 stars,None,None,None,None
1986171817,https://www.amazon.com/Computer-Science-K-12-possibilities-innovative/dp/1986171817,Computer Science K-12: Imagining the possibilities!: Bringing creative and innovative Computer Science to your school,None,Mr. Doug Bergman,5.0 out of 5 stars,None,None,None,Available to ship in 1-2 days.
1680502441,https://www.amazon.com/Common-Sense-Guide-Data-Structures-Algorithms/dp/1680502441,A Common-Sense Guide to Data Structures and Algorithms: Level Up Your Core Programming Skills,1st Edition,Jay Wengrow,4.4 out of 5 stars,None,$31.00,$41.45,In Stock.
0071460519,https://www.amazon.com/Schaums-Outline-Principles-Computer-Science/dp/0071460519,Schaum's Outline of Principles of Computer Science (Schaum's Outline Series),1st Edition,Carl Reynolds,3.7 out of 5 stars,None,$13.47,$15.74,In Stock.
1438078560,https://www.amazon.com/Barrons-Computer-Science-Flash-Cards/dp/1438078560,Barron's AP Computer Science A Flash Cards,None,,3.8 out of 5 stars,None,None,None,In Stock.
B005IV6U0U,https://www.amazon.com/BestBookStand-Actto-BST-09-adjustable-Portable/dp/B005IV6U0U,BestBookStand Actto BST-09 Green 180 angle adjustable and Portable Reading Stand/Book stand Document Holder,None,,4.6 out of 5 stars,None,None,None,In Stock.
1133190820,https://www.amazon.com/Invitation-Computer-Science-Introduction-CS/dp/1133190820,Invitation to Computer Science (Introduction to CS),6th Edition,G.Michael Schneider,4.0 out of 5 stars,None,$20.05,$44.26,"In stock.
        
        
    
Usually ships within 3 to 4 days."
0201440997,https://www.amazon.com/Computer-Security-Science-Matt-Bishop/dp/0201440997,Computer Security: Art and Science,1st Edition,Matt Bishop,3.9 out of 5 stars,None,None,None,None
1680502689,https://www.amazon.com/Practical-Programming-Introduction-Computer-Science/dp/1680502689,Practical Programming: An Introduction to Computer Science Using Python 3.6,3rd Edition,,None,None,$29.99,$40.05,Available to ship in 1-2 days.
B074SJ1HR1,https://www.amazon.com/Autonomy-Quest-Driverless-Car-Reshape-ebook/dp/B074SJ1HR1,None,None,,5.0 out of 5 stars,None,None,None,None
1514381567,https://www.amazon.com/Decoding-AP-Computer-Science-Schooler/dp/1514381567,"Decoding AP Computer Science A: For a High Schooler, By a High Schooler",None,,4.4 out of 5 stars,None,None,None,Available to ship in 1-2 days.
048648582X,https://www.amazon.com/Structures-Algorithm-Analysis-Computer-Science/dp/048648582X,"Data Structures and Algorithm Analysis in C++, Third Edition (Dover Books on Computer Science)",Third Edition,,4.3 out of 5 stars,None,$20.47,$28.29,Only 4 left in stock (more on the way).
1465461884,https://www.amazon.com/Coding-Projects-Python-DK/dp/1465461884,Coding Projects in Python,None,DK,4.8 out of 5 stars,None,None,None,In Stock.
